operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randwrite;32;0;3;31;38.2;4.3
randwrite;32;0;3;32;38.8;4.31
randwrite;32;0;3;33;37.6;4.28
randwrite;32;0;3;34;38.4;4.5
randwrite;32;0;3;35;38.4;4.29
randwrite;32;0;3;36;38.6;4.29
randwrite;32;0;3;37;37.5;4.2
randwrite;32;0;3;38;37.4;4.08
randwrite;32;0;3;39;37.2;4.13
randwrite;32;0;3;40;37.3;4.17
randwrite;32;0;3;41;38.0;4.25
randwrite;32;0;3;42;37.6;4.25
randwrite;32;0;3;43;38.7;4.26
randwrite;32;0;3;44;37.9;4.26
randwrite;32;0;3;45;37.7;4.3
randwrite;32;0;3;46;38.1;4.33
randwrite;32;0;3;47;38.7;4.27
randwrite;32;0;3;48;37.7;4.24
randwrite;32;0;3;49;37.9;4.22
randwrite;32;0;3;50;39.9;4.36
randwrite;32;0;3;51;39.7;4.28
randwrite;32;0;3;52;38.2;4.18
randwrite;32;0;3;53;37.2;4.2
randwrite;32;0;3;54;38.1;4.27
randwrite;32;0;3;55;38.7;4.29
randwrite;32;0;3;56;38.7;4.3
randwrite;32;0;3;57;38.2;4.25
randwrite;32;0;3;58;39.3;4.31
randwrite;32;0;3;59;39.1;4.22
randwrite;32;0;4;0;38.2;4.6
randwrite;32;0;4;1;40.4;4.46
randwrite;32;0;4;2;39.7;4.4
randwrite;32;0;4;3;40.3;4.44
randwrite;32;0;4;4;39.6;4.47
randwrite;32;0;4;5;39.2;4.46
randwrite;32;0;4;6;40.2;4.45
randwrite;32;0;4;7;39.6;4.43
randwrite;32;0;4;8;40.5;4.44
randwrite;32;0;4;9;42.7;4.47
randwrite;32;0;4;10;40.6;4.44
randwrite;32;0;4;11;40.9;4.41
randwrite;32;0;4;12;39.7;4.39
randwrite;32;0;4;13;39.8;4.42
randwrite;32;0;4;14;40.7;4.43
randwrite;32;0;4;15;39.1;4.49
randwrite;32;0;4;16;40.0;4.46
randwrite;32;0;4;17;39.4;4.53
randwrite;32;0;4;18;40.1;4.51
randwrite;32;0;4;19;39.7;4.54
randwrite;32;0;4;20;38.9;4.51
randwrite;32;0;4;21;40.3;4.51
randwrite;32;0;4;22;40.4;4.51
randwrite;32;0;4;23;40.3;4.45
randwrite;32;0;4;24;40.0;4.46
randwrite;32;0;4;25;39.7;4.43
randwrite;32;0;4;26;38.6;4.4
randwrite;32;0;4;27;39.2;4.45
randwrite;32;0;4;28;40.4;4.45
randwrite;32;0;4;29;41.1;4.49
randwrite;32;0;4;30;39.7;4.45
randwrite;32;0;4;31;38.8;4.42
randwrite;32;0;4;32;40.1;4.44
randwrite;32;0;4;33;39.9;4.42
randwrite;32;0;4;34;40.0;4.45
randwrite;32;0;4;35;40.6;4.41
randwrite;32;0;4;36;40.6;4.41
randwrite;32;0;4;37;39.4;4.44
randwrite;32;0;4;38;40.6;4.42
randwrite;32;0;4;39;40.8;4.36
randwrite;32;0;4;40;39.6;4.41
randwrite;32;0;4;41;40.7;4.46
randwrite;32;0;4;42;40.6;4.42
randwrite;32;0;4;43;40.3;4.34
randwrite;32;0;4;44;41.5;4.42
randwrite;32;0;4;45;40.1;4.41
randwrite;32;0;4;46;39.9;4.4
randwrite;32;0;4;47;39.6;4.45
randwrite;32;0;4;48;40.6;4.44
randwrite;32;0;4;49;40.6;4.48
randwrite;32;0;4;50;40.4;4.47
randwrite;32;0;4;51;39.6;4.5
randwrite;32;0;4;52;39.8;4.49
randwrite;32;0;4;53;41.7;4.5
randwrite;32;0;4;54;39.9;4.49
randwrite;32;0;4;55;40.3;4.47
randwrite;32;0;4;56;40.8;4.49
randwrite;32;0;4;57;39.8;4.48
randwrite;32;0;4;58;40.0;4.46
randwrite;32;0;4;59;41.1;4.46
read;32;0;1;0;38.9;4.66
read;32;0;1;1;42.0;4.56
read;32;0;1;2;40.7;4.54
read;32;0;1;3;40.0;4.57
read;32;0;1;4;40.5;4.56
read;32;0;1;5;41.0;4.57
read;32;0;1;6;40.3;4.55
read;32;0;1;7;40.3;4.56
read;32;0;1;8;40.0;4.58
read;32;0;1;9;40.5;4.56
read;32;0;1;10;40.2;4.57
read;32;0;1;11;40.5;4.56
read;32;0;1;12;41.6;4.56
read;32;0;1;13;41.8;4.55
read;32;0;1;14;42.8;4.55
read;32;0;1;15;40.7;4.56
read;32;0;1;16;40.0;4.56
read;32;0;1;17;41.1;4.56
read;32;0;1;18;40.6;4.55
read;32;0;1;19;41.9;4.55
read;32;0;1;20;40.0;4.56
read;32;0;1;21;41.6;4.56
read;32;0;1;22;40.7;4.55
read;32;0;1;23;43.3;4.56
read;32;0;1;24;45.4;4.56
read;32;0;1;25;41.8;4.55
read;32;0;1;26;40.7;4.57
read;32;0;1;27;40.9;4.56
read;32;0;1;28;41.5;4.57
read;32;0;1;29;41.7;4.57
read;32;0;1;30;40.9;4.57
read;32;0;1;31;41.1;4.56
read;32;0;1;32;40.7;4.56
read;32;0;1;33;41.7;4.55
read;32;0;1;34;40.1;4.55
read;32;0;1;35;40.4;4.55
read;32;0;1;36;41.1;4.55
read;32;0;1;37;41.2;4.58
read;32;0;1;38;41.4;4.57
read;32;0;1;39;40.3;4.55
read;32;0;1;40;40.0;4.56
read;32;0;1;41;40.5;4.58
read;32;0;1;42;40.6;4.54
read;32;0;1;43;41.7;4.56
read;32;0;1;44;42.5;4.56
read;32;0;1;45;42.6;4.54
read;32;0;1;46;42.6;4.56
read;32;0;2;0;38.3;4.56
read;32;0;2;1;39.9;4.54
read;32;0;2;2;40.9;4.54
read;32;0;2;3;41.0;4.53
read;32;0;2;4;41.6;4.55
read;32;0;2;5;40.5;4.55
